emdat_id,emdat_event_id,dfo_id,publisher_external_ids,workbook_row,emdat_country,dfo_country,emdat_start,emdat_end,dfo_start,dfo_end,status,reasons
2020-0159-SOM,2020-0159,DFO-4711,DFO:4711|GLIDE:FF-2020-000055,23214,Somalia,United States of America,2020-04-20,2020-04-28,2018-12-05,2018-12-10,rejected,country_mismatch;no_date_overlap
2020-0164-KEN,2020-0164,DFO-4897,DFO:4897,3951,Kenya,Kenya,2020-04-18,2020-06-01,2020-03-27,2020-04-27,accepted,
2020-0164-UGA,2020-0164,DFO-4897,DFO:4897,22759,Uganda,Kenya,2020-04-17,2020-05-05,2020-03-27,2020-04-27,rejected,country_mismatch
2020-0166-TZA,2020-0166,DFO-4900,DFO:4900|GLIDE:FL-2020-000125,23217,United Republic of Tanzania,United Republic of Tanzania,2020-04-22,2020-04-26,2020-04-24,2020-04-27,accepted,
2020-0168-YEM,2020-0168,DFO-4908,DFO:4908|GLIDE:FL-2020-000123,22765,Yemen,Yemen,2020-04-15,2020-04-30,2020-04-20,2020-04-22,accepted,
2020-0169-BFA,2020-0169,DFO-4902,DFO:4902,15160,Burkina Faso,Burkina Faso,2020-04-19,2020-04-26,2020-04-19,2020-04-26,accepted,
2020-0173-AGO,2020-0173,DFO-4906,DFO:4906,22766,Angola,Angola,2020-04-18,2020-04-24,2020-04-18,2020-04-24,accepted,
2020-0213-UGA,2020-0213,DFO-4925,DFO:4925,3968,Uganda,Uganda,2020-05-21,2020-05-25,2020-05-21,2020-05-25,accepted,
2020-0221-OMN,2020-0221,DFO-4923,DFO:4923,22720,Oman,Oman,2020-05-27,2020-05-31,2020-05-27,2020-05-31,accepted,
2020-0273-POL,2020-0273,DFO-4940,DFO:4940|HANZE:2239,22764,Poland,Poland,2020-06-27,2020-06-29,2020-06-29,2020-07-05,accepted,
2020-0283-UKR,2020-0283,DFO-4941,DFO:4941|GLIDE:FF-2020-000156,22773,Ukraine,Ukraine,2020-06-22,2020-06-29,2020-06-22,2020-07-05,accepted,
2020-0284-MNG,2020-0284,DFO-4934,DFO:4934,23235,Mongolia,Mongolia,2020-06-21,2020-06-25,2020-06-21,2020-06-25,accepted,
2020-0289-MYS,2020-0289,DFO-4935,DFO:4935,23216,Malaysia,Malaysia,2020-06-20,2020-06-25,2020-06-20,2020-06-25,accepted,
2020-0296-JPN,2020-0296,DFO-4942,DFO:4942|GLIDE:FL-2020-000160,23189,Japan,Japan,2020-06-29,2020-07-10,2020-06-29,2020-07-05,accepted,
2020-0301-URY,2020-0301,DFO-4931,DFO:4931,1727,Uruguay,Uruguay,2020-06-22,2020-06-24,2020-06-22,2020-06-26,accepted,
2020-0302-TCD,2020-0302,DFO-4912,DFO:4912,1729,Chad,Chad,2020-04-20,2020-04-21,2020-04-20,2020-04-26,accepted,
2021-0381-NPL,2021-0381,DFO-5090,DFO:5090,23380,Nepal,Nepal,2021-07-01,2021-07-07,2021-07-01,2021-07-04,accepted,
2021-0397-RUS,2021-0397,DFO-5094,DFO:5094,15302,Russian Federation,Russian Federation,2021-07-04,2021-07-07,2021-07-04,2021-07-06,accepted,
2021-0428-CHN,2021-0428,DFO-5096,DFO:5096,23413,China,China,2021-06-01,2021-08-30,2021-07-20,2021-07-29,accepted,
2021-0445-PAN,2021-0445,DFO-5104,DFO:5104|GLIDE:FL-2021-000096,2117,Panama,Panama,2021-07-22,2021-07-28,2021-07-22,2021-07-28,accepted,
2021-0446-CRI,2021-0446,DFO-5103,DFO:5103|GLIDE:FL-2021-000092,23414,Costa Rica,Costa Rica,2021-07-22,2021-07-28,2021-07-22,2021-07-28,accepted,
2021-0451-MMR,2021-0451,DFO-5100,DFO:5100|GLIDE:FL-2021-000095,15314,Myanmar,Myanmar • Bangladesh,2021-07-21,2021-07-29,2021-07-25,2021-07-29,accepted,
2021-0453-AFG,2021-0453,DFO-5097,DFO:5097|GLIDE:FF-2021-000102,15316,Afghanistan,Afghanistan,2021-07-28,2021-07-29,2021-07-28,2021-07-29,accepted,
2021-0455-BGD,2021-0455,DFO-5106,DFO:5106|GLIDE:FL-2021-000097,23415,Bangladesh,Bangladesh,2021-07-27,2021-08-03,2021-07-27,2021-07-30,accepted,
2021-0456-PAK,2021-0456,DFO-5099,DFO:5099,22928,Pakistan,Pakistan,2021-07-28,2021-07-29,2021-07-28,2021-07-29,accepted,
