match_group_id,source,source_id,country,start_date,end_date
1521,DFO,DFO-2481,Costa Rica,2004-05-10,2004-05-11
1521,EM-DAT,2004-0214-CRI,Costa Rica,2004-05-10,2004-05-11
1522,DFO,DFO-2474,Viet Nam,2004-04-16,2004-04-17
1522,EM-DAT,2004-0328-VNM,Viet Nam,2004-04-16,2004-04-17
1523,DFO,DFO-2463,Russian Federation • Belarus • Latvia • Ukraine,2004-03-30,2004-05-05
1523,DFO,DFO-2471,Russian Federation,2004-04-14,2004-05-16
1523,EM-DAT,2004-0164-RUS,Russian Federation,2004-03-30,2004-04-09
1523,EM-DAT,2004-0172-RUS,Russian Federation,2004-04-14,2004-05-18
1524,DFO,DFO-2472,Saudi Arabia,2004-04-14,2004-04-16
1524,EM-DAT,2004-0180-SAU,Saudi Arabia,2004-04-14,2004-04-16
1525,DFO,DFO-2473,Bangladesh • India,2004-04-14,2004-05-03
1525,EM-DAT,2004-0178-IND,India,2004-04-10,2004-04-14
1526,DFO,DFO-2460,Bosnia and Herzegovina • Croatia,2004-03-23,2004-04-03
1526,DFO,DFO-2469,Bosnia and Herzegovina • Croatia,2004-04-12,2004-05-02
1526,EM-DAT,2004-0169-BIH,Bosnia and Herzegovina,2004-03-23,2004-04-03
1526,EM-DAT,2004-0163-BIH,Bosnia and Herzegovina,2004-04-06,2004-05-02
1527,DFO,DFO-2470,Djibouti,2004-04-12,2004-04-16
1527,EM-DAT,2004-0158-DJI,Djibouti,2004-04-12,2004-04-16
1528,DFO,DFO-2467,Kenya,2004-04-09,2004-05-11
1528,EM-DAT,2004-0152-KEN,Kenya,2004-04-09,2004-04-12
1528,EM-DAT,2004-0194-KEN,Kenya,2004-04-09,2004-05-11
1529,DFO,DFO-2464,Mexico,2004-04-04,2004-04-06
1529,EM-DAT,2004-0141-MEX,Mexico,2004-04-04,2004-04-06
1530,DFO,DFO-2462,United States of America • Canada,2004-03-28,2004-04-11
1530,EM-DAT,2004-0146-CAN,Canada,2004-03-28,2004-04-11
1530,EM-DAT,2004-0146-USA,United States of America,2004-03-28,2004-04-11
1531,DFO,DFO-2454,Malaysia,2004-03-08,2004-03-13
1531,EM-DAT,2004-0119-MYS,Malaysia,2004-03-08,2004-03-11
1532,DFO,DFO-2449,Papua New Guinea,2004-03-05,2004-03-09
1532,EM-DAT,2004-0104-PNG,Papua New Guinea,2004-03-05,2004-03-09
1533,DFO,DFO-2450,Türkiye • Armenia,2004-03-05,2004-03-09
1533,EM-DAT,2004-0102-ARM,Armenia,2004-03-05,2004-03-09
1533,EM-DAT,2004-0102-TUR,Türkiye,2004-03-05,2004-03-09
1534,DFO,DFO-2417,Australia,2004-01-14,2004-02-25
1534,DFO,DFO-2424,Australia,2004-01-29,2004-02-05
1534,DFO,DFO-2436,Australia,2004-02-13,2004-02-17
1534,DFO,DFO-2441,Australia,2004-02-18,2004-03-10
1534,DFO,DFO-2442,Australia,2004-02-20,2004-03-07
